,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
122,23120678,https://www.airbnb.com/rooms/23120678,40.79034,-73.9446,Manhattan
124,23024146,https://www.airbnb.com/rooms/23024146,40.65484,-73.96066,Brooklyn
126,30059270,https://www.airbnb.com/rooms/30059270,40.70783,-73.90029,Queens
127,29923599,https://www.airbnb.com/rooms/29923599,40.76176,-73.97659,Manhattan
128,22548780,https://www.airbnb.com/rooms/22548780,40.68675,-73.96142,Brooklyn
129,22688059,https://www.airbnb.com/rooms/22688059,40.6817,-73.92624,Brooklyn
130,23810398,https://www.airbnb.com/rooms/23810398,40.6802,-73.94813,Brooklyn
131,30674463,https://www.airbnb.com/rooms/30674463,40.75187,-73.98429,Manhattan
132,33787438,https://www.airbnb.com/rooms/33787438,40.74258,-73.98004,Manhattan
135,31259110,https://www.airbnb.com/rooms/31259110,40.72677,-73.98166,Manhattan
137,31566176,https://www.airbnb.com/rooms/31566176,40.69527,-73.927,Brooklyn
138,31669717,https://www.airbnb.com/rooms/31669717,40.79564,-73.96308,Manhattan
139,34718504,https://www.airbnb.com/rooms/34718504,40.79283,-73.9719,Manhattan
141,39791749,https://www.airbnb.com/rooms/39791749,40.74328,-73.99983,Manhattan
145,33449304,https://www.airbnb.com/rooms/33449304,40.71857,-73.75355,Queens
146,38085023,https://www.airbnb.com/rooms/38085023,40.72285,-73.98833,Manhattan
147,33373472,https://www.airbnb.com/rooms/33373472,40.72724,-73.94505,Brooklyn
148,40483741,https://www.airbnb.com/rooms/40483741,40.73962,-73.9993,Manhattan
150,32260219,https://www.airbnb.com/rooms/32260219,40.74487,-73.87989,Queens
151,43383021,https://www.airbnb.com/rooms/43383021,40.74539,-73.94721,Queens
154,34511726,https://www.airbnb.com/rooms/34511726,40.64304,-73.97964,Brooklyn
155,45205306,https://www.airbnb.com/rooms/45205306,40.698112,-73.934021,Brooklyn
156,34621385,https://www.airbnb.com/rooms/34621385,40.70477,-73.92671,Brooklyn
157,34055336,https://www.airbnb.com/rooms/34055336,40.79026,-73.94478,Manhattan
161,35563249,https://www.airbnb.com/rooms/35563249,40.73958,-73.98472,Manhattan
163,812918853506988002,https://www.airbnb.com/rooms/812918853506988002,40.64373654063083,-73.9661943444289,Brooklyn
164,47849424,https://www.airbnb.com/rooms/47849424,40.75743,-73.99593,Manhattan
165,35689855,https://www.airbnb.com/rooms/35689855,40.68272,-73.97509,Brooklyn
168,36073776,https://www.airbnb.com/rooms/36073776,40.67889,-73.86755,Brooklyn
169,35966671,https://www.airbnb.com/rooms/35966671,40.66093,-73.9525,Brooklyn
171,36592512,https://www.airbnb.com/rooms/36592512,40.59897,-73.95956,Brooklyn
172,38747811,https://www.airbnb.com/rooms/38747811,40.75653,-73.8234,Queens
173,47775232,https://www.airbnb.com/rooms/47775232,40.76123,-73.99245,Manhattan
175,2043329,https://www.airbnb.com/rooms/2043329,40.76494,-73.98799,Manhattan
176,2050406,https://www.airbnb.com/rooms/2050406,40.75415,-73.9731,Manhattan
179,1171716,https://www.airbnb.com/rooms/1171716,40.6368,-73.9688,Brooklyn
181,37366431,https://www.airbnb.com/rooms/37366431,40.69211,-73.93758,Brooklyn
184,47391825,https://www.airbnb.com/rooms/47391825,40.77657,-73.95704,Manhattan
186,37941348,https://www.airbnb.com/rooms/37941348,40.80824,-73.94275,Manhattan
187,39812564,https://www.airbnb.com/rooms/39812564,40.63744,-73.91434,Brooklyn
188,39558009,https://www.airbnb.com/rooms/39558009,40.76381,-73.94959,Manhattan
193,4547143,https://www.airbnb.com/rooms/4547143,40.69392,-73.94455,Brooklyn
194,822366022120332071,https://www.airbnb.com/rooms/822366022120332071,40.65190386664013,-73.95335564832085,Brooklyn
197,40394315,https://www.airbnb.com/rooms/40394315,40.71589,-73.99016,Manhattan
198,4606385,https://www.airbnb.com/rooms/4606385,40.70533,-73.92058,Brooklyn
199,4407557,https://www.airbnb.com/rooms/4407557,40.863,-73.92966,Manhattan
201,7497287,https://www.airbnb.com/rooms/7497287,40.65071,-73.96138,Brooklyn
202,41326428,https://www.airbnb.com/rooms/41326428,40.79861,-73.9436,Manhattan
205,42115999,https://www.airbnb.com/rooms/42115999,40.82773,-73.94484,Manhattan
206,5695509,https://www.airbnb.com/rooms/5695509,40.70285,-73.90973,Queens
207,40892321,https://www.airbnb.com/rooms/40892321,40.68411,-73.96655,Brooklyn
210,40946280,https://www.airbnb.com/rooms/40946280,40.70368,-73.74064,Queens
211,4879530,https://www.airbnb.com/rooms/4879530,40.80824,-73.93987,Manhattan
212,4762718,https://www.airbnb.com/rooms/4762718,40.78321,-73.98448,Manhattan
213,7070705,https://www.airbnb.com/rooms/7070705,40.71905,-73.95937,Brooklyn
214,6515562,https://www.airbnb.com/rooms/6515562,40.72617,-73.98734,Manhattan
215,847054632364156092,https://www.airbnb.com/rooms/847054632364156092,40.85332,-73.92645,Manhattan
216,858763587774457966,https://www.airbnb.com/rooms/858763587774457966,40.6649488,-73.9788363,Brooklyn
219,6939668,https://www.airbnb.com/rooms/6939668,40.77949,-73.97862,Manhattan
222,45433111,https://www.airbnb.com/rooms/45433111,40.66938,-73.98911,Brooklyn
225,45891693,https://www.airbnb.com/rooms/45891693,40.69962,-73.92772,Brooklyn
226,45938560,https://www.airbnb.com/rooms/45938560,40.71265,-73.96539,Brooklyn
228,45087157,https://www.airbnb.com/rooms/45087157,40.80332,-73.93369,Manhattan
229,593512409390835064,https://www.airbnb.com/rooms/593512409390835064,40.82378,-73.9508,Manhattan
230,948450238202608385,https://www.airbnb.com/rooms/948450238202608385,40.664154450812,-73.93971229175281,Brooklyn
231,46142886,https://www.airbnb.com/rooms/46142886,40.74014,-73.92638,Queens
234,46109966,https://www.airbnb.com/rooms/46109966,40.81387,-73.8968,Bronx
235,10067924,https://www.airbnb.com/rooms/10067924,40.72184,-73.99626,Manhattan
236,46156111,https://www.airbnb.com/rooms/46156111,40.65442,-73.95565,Brooklyn
237,46274465,https://www.airbnb.com/rooms/46274465,40.88885,-73.84536,Bronx
238,10173750,https://www.airbnb.com/rooms/10173750,40.69143,-73.93444,Brooklyn
239,46274206,https://www.airbnb.com/rooms/46274206,40.72292,-73.98094,Manhattan
240,9819589,https://www.airbnb.com/rooms/9819589,40.68712,-73.9732,Brooklyn
244,46290411,https://www.airbnb.com/rooms/46290411,40.70383,-73.94495,Brooklyn
246,606099280539160331,https://www.airbnb.com/rooms/606099280539160331,40.65829,-73.94893,Brooklyn
249,521018,https://www.airbnb.com/rooms/521018,40.69445,-73.96546,Brooklyn
250,46679248,https://www.airbnb.com/rooms/46679248,40.80225,-73.95577,Manhattan
251,47832108,https://www.airbnb.com/rooms/47832108,40.69957,-73.92302,Brooklyn
255,13529498,https://www.airbnb.com/rooms/13529498,40.70425,-73.92659,Brooklyn
256,48081712,https://www.airbnb.com/rooms/48081712,40.8034,-73.9385,Manhattan
258,13798188,https://www.airbnb.com/rooms/13798188,40.66169,-73.89775,Brooklyn
262,982812964885848793,https://www.airbnb.com/rooms/982812964885848793,40.785119381097765,-73.94674245680415,Manhattan
264,565814,https://www.airbnb.com/rooms/565814,40.68257,-73.93713,Brooklyn
265,68253,https://www.airbnb.com/rooms/68253,40.76336,-73.92099,Queens
266,661761693245194085,https://www.airbnb.com/rooms/661761693245194085,40.75972,-73.81527,Queens
270,647580,https://www.airbnb.com/rooms/647580,40.7299,-73.98473,Manhattan
271,48298348,https://www.airbnb.com/rooms/48298348,40.76366,-73.86133,Queens
272,12228023,https://www.airbnb.com/rooms/12228023,40.77638,-73.95742,Manhattan
273,48384100,https://www.airbnb.com/rooms/48384100,40.72692,-73.98297,Manhattan
274,235951,https://www.airbnb.com/rooms/235951,40.75408,-73.97071,Manhattan
